,State,Year,Median Income,Standard Error
1,Alabama,2023,"60,660","3,993"
2,Alaska,2023,"98,190","6,112"
3,Arizona,2023,"82,660","2,723"
4,Arkansas,2023,"63,250","2,451"
5,California,2023,"89,870","1,840"
6,Colorado,2023,"96,640","6,194"
7,Connecticut,2023,"92,240","5,980"
8,Delaware,2023,"86,340","3,867"
9,District of Columbia,2023,"111,000","4,904"
10,Florida,2023,"72,200","1,537"
11,Georgia,2023,"72,420","3,218"
12,Hawaii,2023,"97,360","4,928"
13,Idaho,2023,"73,910","2,417"
14,Illinois,2023,"87,820","3,527"
15,Indiana,2023,"76,910","3,445"
16,Iowa,2023,"80,860","4,593"
17,Kansas,2023,"84,830","5,520"
18,Kentucky,2023,"61,980","3,789"
19,Louisiana,2023,"57,650","2,368"
20,Maine,2023,"75,740","4,165"
21,Maryland,2023,"102,000","5,939"
22,Massachusetts,2023,"106,500","3,118"
23,Michigan,2023,"76,960","2,965"
24,Minnesota,2023,"90,340","3,160"
25,Mississippi,2023,"55,060","2,393"
26,Missouri,2023,"78,290","3,669"
27,Montana,2023,"79,220","4,070"
28,Nebraska,2023,"89,190","4,239"
29,Nevada,2023,"81,310","3,631"
30,New Hampshire,2023,"98,780","4,779"
31,New Jersey,2023,"91,590","4,838"
32,New Mexico,2023,"60,980","2,663"
33,New York,2023,"81,600","1,979"
34,North Carolina,2023,"68,610","3,286"
35,North Dakota,2023,"76,960","4,466"
36,Ohio,2023,"73,770","2,968"
37,Oklahoma,2023,"67,330","2,374"
38,Oregon,2023,"88,740","3,778"
39,Pennsylvania,2023,"79,820","3,597"
40,Rhode Island,2023,"81,860","4,838"
41,South Carolina,2023,"69,100","2,154"
42,South Dakota,2023,"81,740","4,466"
43,Tennessee,2023,"72,700","2,948"
44,Texas,2023,"79,060","2,084"
45,Utah,2023,"101,200","4,985"
46,Vermont,2023,"85,190","4,567"
47,Virginia,2023,"96,490","4,469"
48,Washington,2023,"93,440","3,434"
49,West Virginia,2023,"60,410","1,917"
50,Wisconsin,2023,"79,690","3,750"
